"","school_district","school_code","school_name","postal_code","school_category","type","city","grade_10_enrollment","grade_11_enrollment","grade_12_enrollment","short_postal_code","district_name","health_authority"
"1",5,501007,"Jaffray Elem-Jr Secondary","V0B1T0","Public School","Standard school","JAFFRAY","Y","N","N","V0B","Southeast Kootenay","Interior"
"2",5,501009,"Isabella Dicken Elementary","V0B1M0","Public School","Standard school","FERNIE","N","N","N","V0B","Southeast Kootenay","Interior"
"3",5,501010,"Frank J Mitchell Elementary","V0B2G0","Public School","Standard school","SPARWOOD","N","N","N","V0B","Southeast Kootenay","Interior"
"4",5,501017,"Rocky Mountain Elementary","V0B1H0","Public School","Standard school","ELKFORD","N","N","N","V0B","Southeast Kootenay","Interior"
"5",5,502001,"Mount Baker Secondary","V1C1B2","Public School","Standard school","CRANBROOK","Y","Y","Y","V1C","Southeast Kootenay","Interior"
"6",5,502011,"Laurie Middle School","V1C1C5","Public School","Standard school","CRANBROOK","N","N","N","V1C","Southeast Kootenay","Interior"
"7",5,502024,"T M Roberts Elementary","V1C2A2","Public School","Standard school","CRANBROOK","N","N","N","V1C","Southeast Kootenay","Interior"
"8",5,502028,"Gordon Terrace Elementary","V1C2H1","Public School","Standard school","CRANBROOK","N","N","N","V1C","Southeast Kootenay","Interior"
"9",5,502029,"Highlands Elementary","V1C5G3","Public School","Standard school","CRANBROOK","N","N","N","V1C","Southeast Kootenay","Interior"
"10",5,502030,"Pinewood Elementary","V1C5X8","Public School","Standard school","CRANBROOK","N","N","N","V1C","Southeast Kootenay","Interior"
"11",5,502031,"Steeples Elementary","V1C5P6","Public School","Standard school","CRANBROOK","N","N","N","V1C","Southeast Kootenay","Interior"
"12",5,502032,"Kootenay Orchards Elementary","V1C6N5","Public School","Standard school","CRANBROOK","N","N","N","V1C","Southeast Kootenay","Interior"
"13",5,505000,"Kootenay Learning Campus (KLC)","V0B1M0","Public School","Continuing education school","FERNIE","Y","Y","Y","V0B","Southeast Kootenay","Interior"
"14",5,505018,"Parkland Middle School","V1C2B4","Public School","Standard school","CRANBROOK","N","N","N","V1C","Southeast Kootenay","Interior"
"15",5,505033,"Elkford Elementary Secondary","V0B1H0","Public School","Standard school","ELKFORD","Y","Y","Y","V0B","Southeast Kootenay","Interior"
"16",5,505034,"Fernie Secondary","V0B1M0","Public School","Standard school","FERNIE","Y","Y","Y","V0B","Southeast Kootenay","Interior"
"17",5,505035,"Sparwood Secondary","V0B2G0","Public School","Standard school","SPARWOOD","Y","Y","Y","V0B","Southeast Kootenay","Interior"
"18",5,525017,"Amy Woodland StrongStart Centre","V1C5P6","Early learning school","StrongStart center","Cranbrook","N","N","N","V1C","Southeast Kootenay","Interior"
"19",5,525028,"Steeples StrongStart Centre","V1C5P6","Early learning school","StrongStart center","CRANBROOK","N","N","N","V1C","Southeast Kootenay","Interior"
"20",5,525088,"Isabella Dicken StrongStart Centre","V0B1M0","Early learning school","StrongStart center","FERNIE","N","N","N","V0B","Southeast Kootenay","Interior"
"21",5,525204,"Frank J Mitchell StrongStart Centre","V0B2G0","Early learning school","StrongStart center","SPARWOOD","N","N","N","V0B","Southeast Kootenay","Interior"
"22",5,596109,"St Mary's Catholic Independent","V1C1K1","Independent School","Standard school","CRANBROOK","N","N","N","V1C","Southeast Kootenay","Interior"
"23",5,596640,"Kootenay Christian Academy","V1C5X1","Independent School","Standard school","CRANBROOK","Y","Y","Y","V1C","Southeast Kootenay","Interior"
"24",5,596715,"The Fernie Academy","V0B1M0","Independent School","Standard school","FERNIE","Y","Y","Y","V0B","Southeast Kootenay","Interior"
"25",5,599078,"Kootenay Educational Services","V1C3W9","Public School","Alternate programs school","CRANBROOK","Y","Y","Y","V1C","Southeast Kootenay","Interior"
"26",5,599156,"Kootenay Discovery School","V0B1M0","Public School","District online learning school","FERNIE","Y","Y","Y","V0B","Southeast Kootenay","Interior"
"27",6,603005,"Marysville Elementary","V1A3J3","Public School","Standard school","KIMBERLEY","N","N","N","V1A","Rocky Mountain","Interior"
"28",6,603007,"Lindsay Park Elementary","V1A2M8","Public School","Standard school","KIMBERLEY","N","N","N","V1A","Rocky Mountain","Interior"
"29",6,603008,"Selkirk Secondary School","V1A2H1","Public School","Standard school","KIMBERLEY","Y","Y","Y","V1A","Rocky Mountain","Interior"
"30",6,604007,"Windermere Elementary","V0B2L2","Public School","Standard school","WINDERMERE","N","N","N","V0B","Rocky Mountain","Interior"
"31",6,604011,"Edgewater Elementary","V0A1E0","Public School","Standard school","EDGEWATER","N","N","N","V0A","Rocky Mountain","Interior"
"32",6,604012,"J Alfred Laird Elementary","V0A1K4","Public School","Standard school","INVERMERE","N","N","N","V0A","Rocky Mountain","Interior"
"33",6,604013,"Martin Morigeau Elementary","V0B1B0","Public School","Standard school","CANAL FLATS","N","N","N","V0B","Rocky Mountain","Interior"
"34",6,604014,"Eileen Madson Primary School","V0A1K4","Public School","Standard school","INVERMERE","N","N","N","V0A","Rocky Mountain","Interior"
"35",6,604015,"David Thompson Secondary","V0A1K4","Public School","Standard school","INVERMERE","Y","Y","Y","V0A","Rocky Mountain","Interior"
"36",6,606000,"Continuing Ed SD 06","V0A1K0","Public School","Continuing education school","INVERMERE","N","N","N","V0A","Rocky Mountain","Interior"
"37",6,606017,"Mckim Middle School","V1A1E4","Public School","Standard school","KIMBERLEY","N","N","N","V1A","Rocky Mountain","Interior"
"38",6,618003,"Lady Grey Elementary","V0A1H0","Public School","Standard school","GOLDEN","N","N","N","V0A","Rocky Mountain","Interior"
"39",6,618005,"Golden Secondary","V0A1H0","Public School","Standard school","GOLDEN","Y","Y","Y","V0A","Rocky Mountain","Interior"
"40",6,618007,"Nicholson Elementary","V0A1H0","Public School","Standard school","GOLDEN","N","N","N","V0A","Rocky Mountain","Interior"
"41",6,618008,"Alexander Park Elementary","V0A1H0","Public School","Standard school","GOLDEN","N","N","N","V0A","Rocky Mountain","Interior"
"42",6,625029,"SD6 StrongStart Outreach - Golden","V0A1H0","Early learning school","StrongStart center","GOLDEN","N","N","N","V0A","Rocky Mountain","Interior"
