District Number,District Name,Address Line 1,Address Line 2,City,Province,Postal Code,Country,Courier Address Line 1,Courier Address Line 2,Courier City,Courier Province,Courier Postal Code,Courier Country,Web Address,Phone,Fax
005,Southeast Kootenay,940 INDUSTRIAL RD  #1,,CRANBROOK,BC,V1C4C6,CA,,,,,,,https://www.sd5.bc.ca,2504264201,2504895460
006,Rocky Mountain,PO BOX 430,,INVERMERE,BC,V0A1K0,CA,620 - 4TH ST,,INVERMERE,BC,V0A1K0,CA,https://www.sd6.bc.ca,2503429243,2503426966
008,Kootenay Lake,811 STANLEY ST,,NELSON,BC,V1L1N8,CA,811 STANLEY ST,,NELSON,BC,V1L1N8,CA,https://www.sd8.bc.ca,2503526681,2503526686
010,Arrow Lakes,BOX 340,,NAKUSP,BC,V0G1R0,CA,98 SIXTH AVE NW,,NAKUSP,BC,V0G1R0,CA,https://sd10.bc.ca,2502653638,2502653701
019,Revelstoke,PO BAG 5800,,REVELSTOKE,BC,V0E2S0,CA,501 11TH ST,,REVELSTOKE,BC,V0E2S0,CA,https://www.sd19.bc.ca,2508372101,2508379335
020,Kootenay-Columbia,2001 THIRD AVE,,TRAIL,BC,V1R1R6,CA,,,,,,,https://www.sd20.bc.ca,2503686434,2503642470
022,Vernon,1401 15 St,,VERNON,BC,V1T8S8,CA,,,,,,,https://www.sd22.bc.ca,2505423331,2505499200
023,Central Okanagan,1040 HOLLYWOOD RD S,,KELOWNA,BC,V1X4N2,CA,,,,,,,https://www.sd23.bc.ca,2508608888,2508609799
027,Cariboo-Chilcotin,350 SECOND AVE N,,WILLIAMS LAKE,BC,V2G1Z9,CA,,,,,,,https://www.sd27.bc.ca,2503983800,2503923600
028,Quesnel,401 North Star Road,,QUESNEL,BC,V2J5K2,CA,,,,,,,https://www.sd28.bc.ca,2509928802,2509927652
033,Chilliwack,8430 CESSNA DR,,CHILLIWACK,BC,V2P7K4,CA,,,,,,,https://www.sd33.bc.ca,6047921321,6047929665
034,Abbotsford,2790 TIMS ST,,ABBOTSFORD,BC,V2T4M7,CA,,,,,,,https://www.abbyschools.ca,6048594891,6048528587
035,Langley,4875 222ND ST,,LANGLEY,BC,V3A3Z7,CA,,,,,,,https://www.sd35.bc.ca,6045347891,6045331115
036,Surrey,14033 92ND AVE,,SURREY,BC,V3V0B7,CA,,,,,,,https://www.surreyschools.ca,6045967733,6045956307
037,Delta,4585 HARVEST DR,,DELTA,BC,V4K5B4,CA,,,,,,,https://www.deltasd.bc.ca,6049464101,6049525375
038,Richmond,7811 GRANVILLE AVE,,RICHMOND,BC,V6Y3E3,CA,,,,,,,https://www.sd38.bc.ca,6046686000,6042330151
039,Vancouver,1580 WEST BROADWAY,,VANCOUVER,BC,V6J5K8,CA,,,,,,,https://www.vsb.bc.ca,6047135000,6047135049
040,New Westminster,811 ONTARIO ST,,NEW WESTMINSTER,BC,V3M0J7,CA,,,,,,,https://newwestschools.ca/,6045176240,6045176390
041,Burnaby,4054 NORFOLK ST,,BURNABY,BC,V5G0C3,CA,,,,,,,https://burnabyschools.ca/,6042966900,6042966910
042,Maple Ridge-Pitt Meadows,22225 BROWN AVE,,MAPLE RIDGE,BC,V2X8N6,CA,,,,,,,https://www.sd42.ca,6044634200,6044634181
043,Coquitlam,1080 WINSLOW AVE,,COQUITLAM,BC,V3J0M6,CA,,,,,,,https://www.sd43.bc.ca,6049399201,6049397828
044,North Vancouver,2121 LONSDALE AVE,,NORTH VANCOUVER,BC,V7M2K6,CA,,,,,,,https://www.sd44.ca,6049033444,6049033445
