District Number,School Code,School Name,Address,City,Province,Postal Code,Physical Address,Physical City,Physical Province,Physical Postal Code,Principal First Name,Principal Last Name,Type,School Category,Phone,Fax,Email,Kindergarten Half Enrollment,Kindergarten Full Enrollment,Grade 1 Enrollment,Grade 2 Enrollment,Grade 3 Enrollment,Grade 4 Enrollment,Grade 5 Enrollment,Grade 6 Enrollment,Grade 7 Enrollment,Grade 8 Enrollment,Grade 9 Enrollment,Grade 10 Enrollment,Grade 11 Enrollment,Grade 12 Enrollment,Group Classification Primary K-3,Group Classification Elementary 4-7 EU,Group Classification Junior Secondary 8-10 SU,Group Classification Senior Secondary 11-12
005,00501007,Jaffray Elem-Jr Secondary,PO BOX 378,JAFFRAY,BC,V0B1T0,,,,,Bill,Johnson,Standard school,Public School,2504293211,2504293555,bill.johnson@sd5.bc.ca,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,,,,
005,00501009,Isabella Dicken Elementary,PO BOX 1559,FERNIE,BC,V0B1M0,,,,,Janet,Kuijt,Standard school,Public School,2504234651,2504237661,janet.kuijt@sd5.bc.ca,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,,,,
005,00501010,Frank J Mitchell Elementary,PO BOX 345,SPARWOOD,BC,V0B2G0,,,,,Jason,Sommerfeld,Standard school,Public School,2504257818,2504252426,jason.sommerfeld@sd5.bc.ca,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,,,,
005,00501017,Rocky Mountain Elementary,PO BOX 460,ELKFORD,BC,V0B1H0,,,,,Jennifer,Adams,Standard school,Public School,2508654625,2508654451,jennifer.adams@sd5.bc.ca,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,,,,
005,00502001,Mount Baker Secondary,1410 BAKER ST,CRANBROOK,BC,V1C1B2,,,,,Dave,Hill,Standard school,Public School,2504265241,2504266673,dave.hill@sd5.bc.ca,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,,,,
005,00502011,Laurie Middle School,1808 2ND ST S,CRANBROOK,BC,V1C1C5,,,,,Aaron,Thorn,Standard school,Public School,2504265291,2504895723,aaron.thorn@sd5.bc.ca,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,,,,
005,00502024,T M Roberts Elementary,10 WATTSVILLE RD,CRANBROOK,BC,V1C2A2,,,,,David,Doll,Standard school,Public School,2504894575,2504890788,david.doll@sd5.bc.ca,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,,,,
005,00502028,Gordon Terrace Elementary,1200 5TH AVE S,CRANBROOK,BC,V1C2H1,,,,,David,Martin,Standard school,Public School,2504268248,2504260824,david.martin@sd5.bc.ca,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,,,,
005,00502029,Highlands Elementary,3300 7TH ST S,CRANBROOK,BC,V1C5G3,,,,,Scott,Holt,Standard school,Public School,2504894391,2504890600,scott.holt@sd5.bc.ca,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,,,,
005,00502030,Pinewood Elementary,40 PINEWOOD AVE W,CRANBROOK,BC,V1C5X8,,,,,Jill,Carley,Standard school,Public School,2504266201,2504266415,jill.carley@sd5.bc.ca,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,,,,
005,00502031,Steeples Elementary,700 24TH AVE N,CRANBROOK,BC,V1C5P6,,,,,Erin,Boehm,Standard school,Public School,2504263352,2504260620,erin.boehm@sd5.bc.ca,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,,,,
005,00502032,Kootenay Orchards Elementary,1301 - 20TH AVE S,CRANBROOK,BC,V1C6N5,,,,,Carissa,Hart,Standard school,Public School,2504268551,2504268441,carissa.hart@sd5.bc.ca,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,,,,
005,00505000,Kootenay Learning Campus (KLC),802 2ND AVE,FERNIE,BC,V0B1M0,,,,,Michael,Kelly,Continuing education school,Public School,2504234912,,michael.kelly@sd5.bc.ca,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,,,,
005,00505018,Parkland Middle School,1115 2ND AVE S,CRANBROOK,BC,V1C2B4,,,,,Brenda,Tyson,Standard school,Public School,2504263327,2504266334,brenda.tyson@sd5.bc.ca,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,,,,
005,00505033,Elkford Elementary Secondary,PO BOX 910,ELKFORD,BC,V0B1H0,2500B BALMER DR,ELKFORD,BC,V0B1H0,Thomas,Skelton,Standard school,Public School,2508654674,2508652915,thomas.skelton@sd5.bc.ca,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,,,,
005,00505034,Fernie Secondary,PO BOX 370,FERNIE,BC,V0B1M0,102 FAIRWAY DR,FERNIE,BC,V0B1M0,Nicole,Neufeld,Standard school,Public School,2504234471,2504234004,nicole.neufeld@sd5.bc.ca,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,,,,
005,00505035,Sparwood Secondary,PO BOX 67,SPARWOOD,BC,V0B2G0,101 PINE SPUR,SPARWOOD,BC,V0B2G0,Erin,Hay,Standard school,Public School,2504256666,2504256661,erin.hay@sd5.bc.ca,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,,,,
005,00525017,Amy Woodland StrongStart Centre,c/o Cranbrook Board Office,Cranbrook,BC,V1C4C6,700 24TH AVE N,Cranbrook,BC,V1C5P6,Scott,Holt,StrongStart center,Early learning school,2504264201,,cbo.mailing@sd5.bc.ca,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,
005,00525028,Steeples StrongStart Centre,700 24TH AVE N,CRANBROOK,BC,V1C5P6,,,,,Erin,Boehm,StrongStart center,Early learning school,2504263352,2504260620,erin.boehm@sd5.bc.ca,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,
005,00525088,Isabella Dicken StrongStart Centre,PO BOX 1559,FERNIE,BC,V0B1M0,1302 SECOND AVE,FERNIE,BC,V0B1M0,Janet,Kuijt,StrongStart center,Early learning school,2504234651,2504237661,janet.kuijt@sd5.bc.ca,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,
005,00525204,Frank J Mitchell StrongStart Centre,PO BOX 345,SPARWOOD,BC,V0B2G0,,,,,Jason,Sommerfeld,StrongStart center,Early learning school,2504257818,2504252426,jason.sommerfeld@sd5.bc.ca,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,
005,00596109,St Mary's Catholic Independent,1701 5TH ST S,CRANBROOK,BC,V1C1K1,,,,,Vanessa,Fer,Standard school,Independent School,2504265017,2504265076,stmprincipal@shaw.ca,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,01,01,,
005,00596640,Kootenay Christian Academy,1200 KOOTENAY ST N,CRANBROOK,BC,V1C5X1,,,,,Doug,Steel,Standard school,Independent School,2504260166,2504260186,dmckay@kcacademy.ca,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,01,01,01,01
005,00596715,The Fernie Academy,PO BOX 2677,FERNIE,BC,V0B1M0,451 2ND AVE,FERNIE,BC,V0B1M0,Jocelyn,Sombrowski,Standard school,Independent School,2504230212,2504234799,office@thefernieacademy.ca,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,01,01,01,01
005,00599078,Kootenay Educational Services,25 17TH AVE N,CRANBROOK,BC,V1C3W9,,,,,Dave,Hill,Alternate programs school,Public School,2504890677,2504890761,dave.hill@sd5.bc.ca,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,,,,
005,00599156,Kootenay Discovery School,802 2ND AVE,FERNIE,BC,V0B1M0,,,,,Michael,Kelly,District online learning school,Public School,2504234912,2504234951,michael.kelly@sd5.bc.ca,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,
006,00603005,Marysville Elementary,546 309 AVE,KIMBERLEY,BC,V1A3J3,,,,,Stacy,Decosse,Standard school,Public School,2504272241,,stacy.decosse@sd6.bc.ca,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,,,,
006,00603007,Lindsay Park Elementary,602 SALMO ST,KIMBERLEY,BC,V1A2M8,,,,,Dan,Clark,Standard school,Public School,2504272255,2503426966,dan.clark@sd6.bc.ca,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,,,,
006,00603008,Selkirk Secondary School,405 HALPIN ST,KIMBERLEY,BC,V1A2H1,,,,,Clint,Dolgopol,Standard school,Public School,2504274827,2503426966,clint.dolgopol@sd6.bc.ca,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,,,,
006,00604007,Windermere Elementary,4747 GOVERNMENT ST,WINDERMERE,BC,V0B2L2,,,,,Keri,Gust,Standard school,Public School,2503426640,2503426966,keri.gust@sd6.bc.ca,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,,,,
006,00604011,Edgewater Elementary,PO BOX 69,EDGEWATER,BC,V0A1E0,,,,,Darryl,Turner,Standard school,Public School,2503479543,2503426966,darryl.turner@sd6.bc.ca,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,,,,
006,00604012,J Alfred Laird Elementary,1202 13TH AVENUE,INVERMERE,BC,V0A1K4,,,,,Terri,Hayes,Standard school,Public School,2503426232,2503426966,terriann.hayes@sd6.bc.ca,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,,,,
006,00604013,Martin Morigeau Elementary,4891 BEATTY AVENUE,CANAL FLATS,BC,V0B1B0,4891 BEATTY AVE,CANAL FLATS,BC,V0B1B0,Teresa,Vancise,Standard school,Public School,2503495665,2503426966,teresa.vancise@sd6.bc.ca,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,,,,
006,00604014,Eileen Madson Primary School,2001 15TH AVE,INVERMERE,BC,V0A1K4,,,,,Rebecka,Riddell-Mckay,Standard school,Public School,2503429315,,,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,,,,
006,00604015,David Thompson Secondary,1535 14TH ST UNIT 1 RR 4,INVERMERE,BC,V0A1K4,,,,,Mike,Hubick,Standard school,Public School,2503429213,2503426966,,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,,,,
006,00606000,Continuing Ed SD 06,BOX 430,INVERMERE,BC,V0A1K0,,,,,Lisa,Tenta,Continuing education school,Public School,2503429213,,lisa.tenta@sd6.bc.ca,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,
006,00606017,Mckim Middle School,689 ROTARY DR,KIMBERLEY,BC,V1A1E4,,,,,Scott,Sharun,Standard school,Public School,2504272283,,mms.office@sd6.bc.ca,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,,,,
006,00618003,Lady Grey Elementary,PO BOX 899,GOLDEN,BC,V0A1H0,620 9TH ST SOUTH,GOLDEN,BC,V0A1H0,Blaine,Broderick,Standard school,Public School,2503446317,2503426966,blaine.broderick@sd6.bc.ca,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,,,,
006,00618005,Golden Secondary,PO BOX 1350,GOLDEN,BC,V0A1H0,1500 9TH ST SOUTH,GOLDEN,BC,V0A1H0,Kelsey,Doolaar,Standard school,Public School,2503442201,2503426966,kelsey.doolaar@sd6.bc.ca,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,,,,
006,00618007,Nicholson Elementary,PO BOX 331,GOLDEN,BC,V0A1H0,737 NICHOLSON FRONTAGE RD,GOLDEN,BC,V0A1H0,Margo,Reinders,Standard school,Public School,2503442370,2503426966,margo.reinders@sd6.bc.ca,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,,,,
006,00618008,Alexander Park Elementary,PO BOX 464,GOLDEN,BC,V0A1H0,1000  14TH AVE,GOLDEN,BC,V0A1H0,Bob,Wilson,Standard school,Public School,2503445513,2503426966,bob.wilson@sd6.bc.ca,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,,,,
006,00625029,SD6 StrongStart Outreach - Golden,PO BOX 464,GOLDEN,BC,V0A1H0,,,,,Crystal,Macleod,StrongStart center,Early learning school,2503429243,,crystal.macleod@sd6.bc.ca,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,
006,00625089,Blarchmont StrongStart Centre,1850 WARREN AVE,KIMBERLEY,BC,V1A1S1,,,,,Crystal,Macleod,StrongStart center,Early learning school,2504325189,,crystal.macleod@sd6.bc.ca,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,
006,00625195,SD6 StrongStart Outreach - Windermere,BOX 430,INVERMERE,BC,V0A1K0,,,,,Crystal,Macleod,StrongStart outreach,Early learning school,2503429243,,crystal.macleod@sd6.bc.ca,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,
006,00696795,Kimberley Independent School,73 101 AVE,KIMBERLEY,BC,V1A1A5,,,,,Louisa,Neufeld,Standard school,Independent School,2504271779,2504271789,principal@kis.ca,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,01,01,01,
006,00696988,Purcell Collegiate School,PO BOX 8 STN Main,Kimberley,BC,V1A2Y5,,,,,Liam,Fitzpatrick,Standard school,Independent School,2504321349,2504321349,info@purcellcollegiate.ca,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,,,,
006,00699069,Golden Alternate School,PO BOX 1350,GOLDEN,BC,V0A1H0,,,,,Lisa,Tenta,Alternate programs school,Public School,2503444548,2503426966,lisa.tenta@sd6.bc.ca,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,,,,
