"","school_district","school_code","school_name","postal_code","school_category","type","city","short_postal_code","health_authority"
"1",5,501007,"Jaffray Elem-Jr Secondary","V0B1T0","Public School","Standard school","JAFFRAY","V0B","Interior"
"2",5,501009,"Isabella Dicken Elementary","V0B1M0","Public School","Standard school","FERNIE","V0B","Interior"
"3",5,501010,"Frank J Mitchell Elementary","V0B2G0","Public School","Standard school","SPARWOOD","V0B","Interior"
"4",5,501017,"Rocky Mountain Elementary","V0B1H0","Public School","Standard school","ELKFORD","V0B","Interior"
"5",5,502001,"Mount Baker Secondary","V1C1B2","Public School","Standard school","CRANBROOK","V1C","Interior"
"6",5,502011,"Laurie Middle School","V1C1C5","Public School","Standard school","CRANBROOK","V1C","Interior"
"7",5,502024,"T M Roberts Elementary","V1C2A2","Public School","Standard school","CRANBROOK","V1C","Interior"
"8",5,502028,"Gordon Terrace Elementary","V1C2H1","Public School","Standard school","CRANBROOK","V1C","Interior"
"9",5,502029,"Highlands Elementary","V1C5G3","Public School","Standard school","CRANBROOK","V1C","Interior"
"10",5,502030,"Pinewood Elementary","V1C5X8","Public School","Standard school","CRANBROOK","V1C","Interior"
"11",5,502031,"Steeples Elementary","V1C5P6","Public School","Standard school","CRANBROOK","V1C","Interior"
"12",5,502032,"Kootenay Orchards Elementary","V1C6N5","Public School","Standard school","CRANBROOK","V1C","Interior"
"13",5,505000,"Kootenay Learning Campus (KLC)","V0B1M0","Public School","Continuing education school","FERNIE","V0B","Interior"
"14",5,505018,"Parkland Middle School","V1C2B4","Public School","Standard school","CRANBROOK","V1C","Interior"
"15",5,505033,"Elkford Elementary Secondary","V0B1H0","Public School","Standard school","ELKFORD","V0B","Interior"
"16",5,505034,"Fernie Secondary","V0B1M0","Public School","Standard school","FERNIE","V0B","Interior"
"17",5,505035,"Sparwood Secondary","V0B2G0","Public School","Standard school","SPARWOOD","V0B","Interior"
"18",5,525017,"Amy Woodland StrongStart Centre","V1C5P6","Early learning school","StrongStart center","Cranbrook","V1C","Interior"
"19",5,525028,"Steeples StrongStart Centre","V1C5P6","Early learning school","StrongStart center","CRANBROOK","V1C","Interior"
"20",5,525088,"Isabella Dicken StrongStart Centre","V0B1M0","Early learning school","StrongStart center","FERNIE","V0B","Interior"
"21",5,525204,"Frank J Mitchell StrongStart Centre","V0B2G0","Early learning school","StrongStart center","SPARWOOD","V0B","Interior"
"22",5,596109,"St Mary's Catholic Independent","V1C1K1","Independent School","Standard school","CRANBROOK","V1C","Interior"
"23",5,596640,"Kootenay Christian Academy","V1C5X1","Independent School","Standard school","CRANBROOK","V1C","Interior"
"24",5,596715,"The Fernie Academy","V0B1M0","Independent School","Standard school","FERNIE","V0B","Interior"
"25",5,599078,"Kootenay Educational Services","V1C3W9","Public School","Alternate programs school","CRANBROOK","V1C","Interior"
"26",5,599156,"Kootenay Discovery School","V0B1M0","Public School","District online learning school","FERNIE","V0B","Interior"
"27",6,603005,"Marysville Elementary","V1A3J3","Public School","Standard school","KIMBERLEY","V1A","Interior"
"28",6,603007,"Lindsay Park Elementary","V1A2M8","Public School","Standard school","KIMBERLEY","V1A","Interior"
"29",6,603008,"Selkirk Secondary School","V1A2H1","Public School","Standard school","KIMBERLEY","V1A","Interior"
"30",6,604007,"Windermere Elementary","V0B2L2","Public School","Standard school","WINDERMERE","V0B","Interior"
"31",6,604011,"Edgewater Elementary","V0A1E0","Public School","Standard school","EDGEWATER","V0A","Interior"
"32",6,604012,"J Alfred Laird Elementary","V0A1K4","Public School","Standard school","INVERMERE","V0A","Interior"
"33",6,604013,"Martin Morigeau Elementary","V0B1B0","Public School","Standard school","CANAL FLATS","V0B","Interior"
"34",6,604014,"Eileen Madson Primary School","V0A1K4","Public School","Standard school","INVERMERE","V0A","Interior"
"35",6,604015,"David Thompson Secondary","V0A1K4","Public School","Standard school","INVERMERE","V0A","Interior"
"36",6,606000,"Continuing Ed SD 06","V0A1K0","Public School","Continuing education school","INVERMERE","V0A","Interior"
"37",6,606017,"Mckim Middle School","V1A1E4","Public School","Standard school","KIMBERLEY","V1A","Interior"
"38",6,618003,"Lady Grey Elementary","V0A1H0","Public School","Standard school","GOLDEN","V0A","Interior"
"39",6,618005,"Golden Secondary","V0A1H0","Public School","Standard school","GOLDEN","V0A","Interior"
"40",6,618007,"Nicholson Elementary","V0A1H0","Public School","Standard school","GOLDEN","V0A","Interior"
"41",6,618008,"Alexander Park Elementary","V0A1H0","Public School","Standard school","GOLDEN","V0A","Interior"
"42",6,625029,"SD6 StrongStart Outreach - Golden","V0A1H0","Early learning school","StrongStart center","GOLDEN","V0A","Interior"
"43",6,625089,"Blarchmont StrongStart Centre","V1A1S1","Early learning school","StrongStart center","KIMBERLEY","V1A","Interior"
"44",6,625195,"SD6 StrongStart Outreach - Windermere","V0A1K0","Early learning school","StrongStart outreach","INVERMERE","V0A","Interior"
"45",6,696795,"Kimberley Independent School","V1A1A5","Independent School","Standard school","KIMBERLEY","V1A","Interior"
"46",6,696988,"Purcell Collegiate School","V1A2Y5","Independent School","Standard school","Kimberley","V1A","Interior"
"47",6,699069,"Golden Alternate School","V0A1H0","Public School","Alternate programs school","GOLDEN","V0A","Interior"
"48",6,699086,"Kimberley Alternate School","V0A1K0","Public School","Alternate programs school","Invermere","V0A","Interior"
"49",6,699127,"Open Doors Alternate Education","V0A1K0","Public School","Alternate programs school","INVERMERE","V0A","Interior"
"50",6,699157,"Rocky Mountain Online Learning","V0A1K0","Public School","District online learning school","INVERMERE","V0A","Interior"
"51",8,807004,"Hume Elementary School","V1L2M8","Public School","Standard school","NELSON","V1L","Interior"
"52",8,807005,"Trafalgar Middle School","V1L1X8","Public School","Standard school","NELSON","V1L","Interior"
